model,model_map
0.1547503322362899,948
0.1566667556762695,949
0.1585831940174102,950
0.1604996174573898,951
0.1624160408973693,952
0.1643324643373489,953
0.1662488877773285,954
0.168165311217308,955
0.1700817495584488,956
0.1719981729984283,957
0.1739145964384079,958
0.1758310198783874,959
0.177747443318367,960
0.1796638667583465,961
0.1815803050994873,962
0.1834967285394668,963
0.1854131519794464,964
0.1873295754194259,965
0.1892459988594055,966
0.191162422299385,967
0.1930788606405258,968
0.1949952840805053,969
0.1969117075204849,970
0.1988281309604644,971
0.200744554400444,972
0.2026609778404235,973
0.2045774012804031,974
0.2064938396215438,975
0.2084102630615234,976
0.210326686501503,977
0.2122431099414825,978
0.2141595333814621,979
0.2160759568214416,980
0.2179923951625824,981
0.2199088186025619,982
0.2218252420425415,983
0.223741665482521,984
0.2256580889225006,985
0.2275745123624801,986
0.2294909507036209,987
0.2314073741436004,988
0.23332379758358,989
0.2352402210235595,990
0.2371566444635391,991
0.2390730679035186,992
0.2409895062446594,993
0.2429059296846389,994
0.2448223531246185,995
0.246738776564598,996
0.2486552000045776,997
0.2505716383457184,998
0.2524880468845367,999
0.2544044852256775,1000
0.2563208937644958,1001
0.2582373321056366,1002
0.2601537704467773,1003
0.2620701789855957,1004
0.2639866173267364,1005
0.2659030258655548,1006
0.2678194642066955,1007
0.2697359025478363,1008
0.2716523110866546,1009
0.2735687494277954,1010
0.2754851579666137,1011
0.2774015963077545,1012
0.2793180048465729,1013
0.2812344431877136,1014
0.2831508815288543,1015
0.2850672900676727,1016
0.2869837284088135,1017
0.2889001369476318,1018
0.2908165752887726,1019
0.2927329838275909,1020
0.2946494221687317,1021
0.2965658605098724,1022
0.2984822690486908,1023
0.3003987073898315,1024
0.3023151159286499,1025
0.3042315542697906,1026
0.3061479926109314,1027
0.3080644011497497,1028
0.3099808394908905,1029
0.3118972480297088,1030
0.3138136863708496,1031
0.3157300949096679,1032
0.3176465332508087,1033
0.3195629715919494,1034
0.3214793801307678,1035
0.3233958184719085,1036
0.3253122270107269,1037
0.3272286653518677,1038
0.3291451036930084,1039
0.3310615122318268,1040
0.3329779505729675,1041
0.3348943591117859,1042
0.3368107974529266,1043
0.338727205991745,1044
0.3406436443328857,1045
0.3425600826740265,1046
0.3444764912128448,1047
0.3463929295539856,1048
0.3483093380928039,1049
0.3502257764339447,1050
0.3521422147750854,1051
0.3540586233139038,1052
0.3559750616550445,1053
0.3578914701938629,1054
0.3598079085350036,1055
0.361724317073822,1056
0.3636407554149627,1057
0.3655571937561035,1058
0.3674736022949219,1059
0.3693900406360626,1060
0.371306449174881,1061
0.3732228875160217,1062
0.3751392960548401,1063
0.3770557343959808,1064
0.3789721727371216,1065
0.3808885812759399,1066
0.3828050196170807,1067
0.384721428155899,1068
0.3866378664970398,1069
0.3885543048381805,1070
0.3904707133769989,1071
0.3923871517181396,1072
0.394303560256958,1073
0.3962199985980987,1074
0.3981364071369171,1075
0.4000528454780578,1076
0.4019692838191986,1077
0.4038856923580169,1078
0.4058021306991577,1079
0.4077185392379761,1080
0.4096349775791168,1081
0.4115514159202575,1082
0.4134678244590759,1083
0.4153842628002167,1084
0.417300671339035,1085
0.4192171096801758,1086
0.4211335182189941,1087
0.4230499565601349,1088
0.4249663949012756,1089
0.426882803440094,1090
0.4287992417812347,1091
0.4307156503200531,1092
0.4326320886611938,1093
0.4345485270023346,1094
0.4364649355411529,1095
0.4383813738822937,1096
0.440297782421112,1097
0.4422142207622528,1098
0.4441306293010711,1099
0.4460470676422119,1100
0.4479635059833526,1101
0.449879914522171,1102
0.4517963528633117,1103
0.4537127614021301,1104
0.4556291997432709,1105
0.4575456082820892,1106
0.45946204662323,1107
0.4613784849643707,1108
0.4632948935031891,1109
0.4652113318443298,1110
0.4671277403831482,1111
0.4690441787242889,1112
0.4709606170654297,1113
0.472877025604248,1114
0.4747934639453888,1115
0.4767098724842071,1116
0.4786263108253479,1117
0.4805427193641662,1118
0.482459157705307,1119
0.4843755960464477,1120
0.4862920045852661,1121
0.4882084429264068,1122
0.4901248514652252,1123
0.4920412898063659,1124
0.4939577281475067,1125
0.4958741366863251,1126
0.4977905750274658,1127
0.4997069835662842,1128
0.5016233921051025,1129
0.5035398602485657,1130
0.505456268787384,1131
0.5073726773262024,1132
0.5092891454696655,1133
0.5112055540084839,1134
0.5131219625473022,1135
0.5150383710861206,1136
0.5169548392295837,1137
0.5188712477684021,1138
0.5207876563072205,1139
0.5227041244506836,1140
0.524620532989502,1141
0.5265369415283203,1142
0.5284533500671387,1143
0.5303698182106018,1144
0.5322862267494202,1145
0.5342026352882385,1146
0.5361191034317017,1147
0.53803551197052,1148
0.5399519205093384,1149
0.5418683886528015,1150
0.5437847971916199,1151
0.5457012057304382,1152
0.5476176142692566,1153
